Product_Name,month_idx,Actual_Min_Price_next,Predicted_Min_Price_next,Actual_Avg_Price_next,Predicted_Avg_Price_next,Actual_Max_Price_next,Predicted_Max_Price_next
Akabary_Chilly,1,300.0,263.9,628.57,424.52,900.0,577.11
Akabary_Chilly,2,300.0,362.07,555.56,516.7,800.0,624.84
Akabary_Chilly,3,300.0,362.13,439.77,493.93,500.0,570.46
Akabary_Chilly,4,400.0,394.84,450.0,477.57,500.0,530.13
Amala,1,100.0,139.07,111.25,157.73,120.0,179.39
Amala,2,100.0,93.35,110.0,111.36,120.0,111.36
Amala,3,100.0,96.93,110.0,105.63,120.0,118.96
Amala,4,80.0,86.08,90.0,100.04,100.0,115.01
Amala,5,80.0,83.3,93.14,96.71,150.0,139.57
Amala,6,80.0,82.24,96.11,101.82,150.0,140.47
Amala,7,80.0,81.19,135.0,129.34,150.0,145.06
Amala,8,140.0,112.2,145.0,142.67,150.0,147.69
Apple,1,130.0,141.74,289.86,282.2,330.0,364.6
Apple,2,130.0,157.56,237.81,269.31,330.0,349.48
Apple,3,180.0,174.11,255.0,254.13,330.0,328.71
Apple,4,180.0,173.54,255.0,242.65,330.0,323.51
Apple,5,180.0,202.18,255.0,252.08,330.0,319.42
Apple,6,225.0,209.09,255.0,243.19,330.0,306.21
Apple,7,225.0,214.29,255.0,264.51,330.0,351.86
Apple,8,225.0,237.58,255.0,279.9,330.0,328.82
Apple,9,225.0,232.3,266.3,277.69,350.0,324.54
Apple_Fuji,1,270.0,239.28,300.0,340.72,330.0,436.0
Apple_Fuji,2,270.0,246.85,300.0,274.35,330.0,310.68
Apple_Fuji,3,270.0,261.55,300.0,300.12,330.0,334.26
Apple_Fuji,4,270.0,274.67,300.0,305.73,330.0,332.17
Apple_Fuji,5,270.0,284.01,300.0,302.3,330.0,324.22
Apple_Fuji,6,270.0,284.01,300.0,299.09,330.0,326.39
Arum,1,100.0,73.72,110.0,95.0,120.0,95.0
Arum,2,60.0,61.49,70.0,64.57,80.0,80.19
