Product_Name,month_idx,Actual_Min_Price_next,Predicted_Min_Price_next,Actual_Avg_Price_next,Predicted_Avg_Price_next,Actual_Max_Price_next,Predicted_Max_Price_next
Akabary_Chilly,1,300.0,280.96,628.57,429.28,900.0,613.11
Akabary_Chilly,2,300.0,361.44,555.56,603.6,800.0,670.7
Akabary_Chilly,3,300.0,339.77,439.77,612.57,500.0,612.57
Akabary_Chilly,4,400.0,390.47,450.0,612.3,500.0,612.3
Amala,1,100.0,68.85,111.25,68.85,120.0,189.63
Amala,2,100.0,97.84,110.0,101.46,120.0,157.35
Amala,3,100.0,94.04,110.0,108.0,120.0,117.52
Amala,4,80.0,83.36,90.0,91.68,100.0,105.31
Amala,5,80.0,86.6,93.14,96.21,150.0,143.12
Amala,6,80.0,78.94,96.11,105.82,150.0,153.16
Amala,7,80.0,88.45,135.0,128.05,150.0,149.94
Amala,8,140.0,137.72,145.0,151.78,150.0,151.78
Apple,1,130.0,133.56,289.86,287.1,330.0,342.43
Apple,2,130.0,168.0,237.81,252.46,330.0,362.17
Apple,3,180.0,165.96,255.0,237.95,330.0,318.64
Apple,4,180.0,189.12,255.0,239.48,330.0,313.79
Apple,5,180.0,199.05,255.0,249.62,330.0,327.02
Apple,6,225.0,206.31,255.0,277.48,330.0,324.2
Apple,7,225.0,214.14,255.0,271.53,330.0,340.36
Apple,8,225.0,232.36,255.0,267.72,330.0,341.88
Apple,9,225.0,234.97,266.3,265.32,350.0,346.72
Apple_Fuji,1,270.0,242.04,300.0,360.2,330.0,441.6
Apple_Fuji,2,270.0,252.09,300.0,281.93,330.0,319.2
Apple_Fuji,3,270.0,249.18,300.0,309.85,330.0,334.61
Apple_Fuji,4,270.0,263.12,300.0,300.66,330.0,334.98
Apple_Fuji,5,270.0,280.5,300.0,316.12,330.0,328.49
Apple_Fuji,6,270.0,280.5,300.0,315.03,330.0,325.43
Arum,1,100.0,96.9,110.0,111.44,120.0,111.44
Arum,2,60.0,63.78,70.0,76.35,80.0,85.9
Arum,3,60.0,69.11,65.26,72.2,80.0,95.42
Arum,4,60.0,53.71,73.95,73.47,80.0,73.47
Arum,5,60.0,60.61,70.0,73.06,80.0,79.26
Arum,6,60.0,58.28,70.0,67.47,80.0,74.46
Arum,7,60.0,62.11,70.0,66.8,80.0,85.45
Arum,8,60.0,56.46,69.09,65.9,80.0,79.05
Arum,9,60.0,53.78,65.0,73.08,70.0,86.58
Avocado,1,300.0,240.31,400.0,317.9,600.0,463.06
Avocado,2,300.0,297.84,325.0,347.14,350.0,436.84
Avocado,3,300.0,297.16,325.0,339.15,350.0,391.23
Avocado,4,300.0,293.64,325.0,320.37,350.0,336.64
Avocado,5,300.0,290.3,325.0,358.17,350.0,395.84
Avocado,6,300.0,304.54,325.0,358.15,350.0,369.22
Avocado,7,300.0,297.88,325.0,382.63,350.0,382.63
Avocado,8,300.0,311.29,721.43,479.21,1000.0,569.93
Avocado,9,650.0,291.87,757.61,321.8,800.0,451.48
Bakula,1,100.0,108.43,147.22,145.39,160.0,187.97
Bakula,2,80.0,85.11,100.91,105.98,120.0,132.59
Bakula,3,80.0,79.66,90.0,88.35,100.0,109.33
Bambooshoot,1,60.0,73.1,65.0,97.35,70.0,97.35
Bambooshoot,2,60.0,61.78,65.0,73.45,70.0,73.99
