Product_Name,month_idx,Actual_Min_Price_next,Predicted_Min_Price_next,Actual_Avg_Price_next,Predicted_Avg_Price_next,Actual_Max_Price_next,Predicted_Max_Price_next
Akabary_Chilly,1,300.0,275.6,628.57,480.87,900.0,673.0
Akabary_Chilly,2,300.0,331.0,555.56,524.24,800.0,742.3
Akabary_Chilly,3,300.0,321.0,439.77,455.13,500.0,539.5
Akabary_Chilly,4,400.0,373.5,450.0,440.14,500.0,497.3
Amala,1,100.0,118.7,111.25,136.06,120.0,149.7
Amala,2,100.0,102.1,110.0,111.48,120.0,133.7
Amala,3,100.0,96.35,110.0,106.29,120.0,119.7
Amala,4,80.0,84.85,90.0,95.94,100.0,109.0
Amala,5,80.0,85.8,93.14,98.42,150.0,137.6
Amala,6,80.0,81.4,96.11,105.79,150.0,137.14
Amala,7,80.0,86.25,135.0,129.88,150.0,146.86
Amala,8,140.0,124.2,145.0,141.17,150.0,153.45
Apple,1,130.0,141.3,289.86,295.71,330.0,373.8
Apple,2,130.0,145.8,237.81,247.33,330.0,346.1
Apple,3,180.0,177.55,255.0,252.53,330.0,330.8
Apple,4,180.0,182.75,255.0,249.81,330.0,329.7
Apple,5,180.0,188.85,255.0,259.61,330.0,324.9
Apple,6,225.0,210.85,255.0,258.85,330.0,326.6
Apple,7,225.0,222.4,255.0,254.06,330.0,332.7
Apple,8,225.0,223.0,255.0,265.74,330.0,334.6
Apple,9,225.0,220.55,266.3,274.51,350.0,335.4
Apple_Fuji,1,270.0,250.7,300.0,324.47,330.0,381.7
Apple_Fuji,2,270.0,254.05,300.0,287.67,330.0,326.0
Apple_Fuji,3,270.0,258.9,300.0,301.96,330.0,342.4
Apple_Fuji,4,270.0,265.1,300.0,300.01,330.0,337.3
Apple_Fuji,5,270.0,275.6,300.0,302.37,330.0,337.2
Apple_Fuji,6,270.0,276.8,300.0,302.12,330.0,337.2
Arum,1,100.0,98.55,110.0,107.77,120.0,116.1
Arum,2,60.0,72.2,70.0,82.58,80.0,92.7
Arum,3,60.0,68.1,65.26,73.1,80.0,91.5
Arum,4,60.0,60.17,73.95,73.35,80.0,78.95
Arum,5,60.0,59.51,70.0,67.61,80.0,77.9
Arum,6,60.0,60.6,70.0,70.98,80.0,82.1
Arum,7,60.0,59.25,70.0,69.88,80.0,80.91
Arum,8,60.0,61.5,69.09,68.11,80.0,79.8
Arum,9,60.0,58.7,65.0,68.15,70.0,82.1
Avocado,1,300.0,246.1,400.0,324.23,600.0,464.4
Avocado,2,300.0,302.8,325.0,325.96,350.0,373.0
Avocado,3,300.0,309.0,325.0,341.83,350.0,360.0
Avocado,4,300.0,305.5,325.0,334.44,350.0,354.5
Avocado,5,300.0,300.5,325.0,340.93,350.0,377.5
Avocado,6,300.0,299.5,325.0,338.45,350.0,369.5
Avocado,7,300.0,300.0,325.0,325.42,350.0,353.7
Avocado,8,300.0,301.5,721.43,548.3,1000.0,716.0
Avocado,9,650.0,308.0,757.61,362.0,800.0,502.1
Bakula,1,100.0,97.65,147.22,133.23,160.0,152.2
Bakula,2,80.0,87.5,100.91,120.62,120.0,130.6
Bakula,3,80.0,83.2,90.0,102.5,100.0,117.8
Bambooshoot,1,60.0,55.6,65.0,71.24,70.0,69.2
Bambooshoot,2,60.0,58.7,65.0,64.68,70.0,72.2
Bambooshoot,3,60.0,59.2,65.0,65.61,70.0,74.0
