Product_Name,month_idx,Actual_Avg_Price,Predicted_Avg_Price,Actual_Min_Price,Predicted_Min_Price,Actual_Max_Price,Predicted_Max_Price
Apple,9,192.4,237.29610000000008,130.0,161.28,330.0,324.6
Apple,10,255.0,259.6231,180.0,206.3,330.0,333.7
Arum,9,110.0,119.62950000000001,100.0,107.92,120.0,123.1
Arum,10,73.95,65.74890000000003,60.0,57.73,80.0,78.55
Avocado,9,325.0,172.3929,300.0,163.9,350.0,192.7
Avocado,10,325.0,330.9382,300.0,302.0,350.0,350.0
Banana_Green,9,194.91,183.59799999999998,180.0,160.1,230.0,208.6
Banana_Green,10,175.15,173.59619999999987,140.0,129.1,244.0,208.0
Beat_Chukunder,9,100.0,99.11210000000001,80.0,80.4,120.0,113.7
Beat_Chukunder,10,100.0,98.33139999999999,80.0,79.0,120.0,113.2
Bitter_Gourd,9,106.2,80.80190000000002,30.0,64.54,80.0,130.66
Bitter_Gourd,10,146.32,133.17760000000007,130.0,106.5,180.0,164.0
Bottle_Gourd,9,102.73,91.77930000000002,80.0,77.25,120.0,103.88
Bottle_Gourd,10,62.17,79.4646,40.0,46.34,100.0,104.38
Brinjal_Long,9,51.08,58.30810000000001,30.0,34.48,80.0,90.58
Brinjal_Long,10,43.4,59.59010000000003,30.0,39.25,70.0,80.3
Broad_Leaf_Mustard,9,82.78,96.38970000000003,40.0,55.61,120.0,140.56
Broad_Leaf_Mustard,10,88.4,75.18630000000002,60.0,61.9,120.0,115.04
Broccoli,9,172.37,253.18420000000003,120.0,162.55,250.0,310.0
Cabbage,9,55.0,61.088999999999984,50.0,60.92,60.0,59.4
Cabbage,10,61.16,60.55199999999999,40.0,39.85,90.0,91.03
Cabbage_Red,9,213.61,286.1653999999999,80.0,155.6,350.0,429.2
Cabbage_Red,10,90.23,166.8081999999999,60.0,95.0,200.0,303.3
Carrot,9,113.8,101.1437,100.0,93.97,150.0,144.3
Carrot,10,141.11,302.22090000000003,120.0,154.8,180.0,170.6
Cauliflower_Hill,9,78.86,89.55039999999997,15.0,31.79,120.0,165.08
Cauliflower_Hill,10,67.39,63.20280000000002,50.0,43.28,100.0,95.47
Chilly_Green,9,98.75,104.8527,60.0,60.05,150.0,151.8
Chilly_Green,10,125.0,122.99350000000003,100.0,99.25,150.0,155.1
Christophine,9,68.61,62.20370000000002,50.0,53.85,80.0,71.8
Christophine,10,35.0,42.62170000000001,30.0,37.6,40.0,42.9
Coconut,9,144.2,107.16320000000002,140.0,104.29,160.0,126.8
Coconut,10,155.0,155.34169999999997,150.0,146.9,160.0,163.8
Coriander_Green,9,536.0,201.2385,250.0,121.65,1000.0,446.7
Coriander_Green,10,348.68,419.4577000000001,100.0,190.6,900.0,872.5
Cow_Pea,9,78.0,107.66790000000012,40.0,51.53,180.0,199.87
Cow_Pea,10,138.95,111.99410000000002,90.0,63.0,230.0,194.1
Cucumber,9,53.0,97.5424,25.0,51.12,150.0,186.66
Cucumber,10,106.58,107.13569999999996,50.0,59.2,150.0,167.9
