Product_Name,month_idx,Actual_Avg_Price,Predicted_Avg_Price,Actual_Min_Price,Predicted_Min_Price,Actual_Max_Price,Predicted_Max_Price
Akabary_Chilly,1,500.0,401.04600000000005,400.0,290.7,600.0,496.5
Akabary_Chilly,2,628.57,571.2341999999996,300.0,325.2,900.0,871.0
Akabary_Chilly,3,555.56,510.48069999999956,300.0,304.2,800.0,753.0
Akabary_Chilly,4,439.77,502.57349999999946,300.0,323.0,500.0,532.0
Akabary_Chilly,5,450.0,451.7675,400.0,384.5,500.0,502.8
Amala,1,145.0,149.5504,140.0,152.6,150.0,158.8
Amala,2,135.0,134.6306,80.0,81.4,150.0,158.3
Amala,3,96.11,101.93700000000001,80.0,75.05,150.0,148.0
Amala,4,93.14,98.84370000000001,80.0,74.9,150.0,149.6
Amala,5,90.0,93.55059999999997,80.0,86.0,100.0,107.5
Amala,6,110.0,109.33709999999999,100.0,99.0,120.0,118.2
Amala,7,110.0,109.65,100.0,98.8,120.0,119.4
Amala,8,111.25,113.70190000000002,100.0,100.9,120.0,121.6
Apple,1,255.0,256.73519999999996,225.0,223.5,330.0,332.4
Apple,2,255.0,256.3635,225.0,223.95,330.0,330.7
Apple,3,255.0,255.40759999999997,225.0,218.45,330.0,328.8
Apple,4,255.0,255.19129999999998,180.0,199.95,330.0,333.1
Apple,5,266.3,262.5791999999998,225.0,220.45,350.0,341.4
Apple,6,255.0,254.03720000000004,180.0,184.7,330.0,330.5
Apple,7,237.81,257.15840000000026,130.0,151.55,330.0,341.0
Apple,8,289.86,322.3370000000003,130.0,166.4,330.0,337.1
Apple,9,192.4,237.2961000000001,130.0,161.28,330.0,324.6
Apple,10,255.0,259.62309999999997,180.0,206.3,330.0,333.7
Apple_Fuji,1,300.0,299.9013,270.0,270.9,330.0,330.8
Apple_Fuji,2,300.0,299.9013,270.0,270.9,330.0,331.1
Apple_Fuji,3,300.0,299.9013,270.0,271.2,330.0,331.1
Apple_Fuji,4,300.0,299.42760000000004,270.0,269.4,330.0,334.0
Apple_Fuji,5,300.0,297.52410000000003,270.0,264.4,330.0,334.4
Apple_Fuji,6,300.0,293.0139,270.0,253.1,330.0,324.4
Apple_Fuji,7,289.2,275.06140000000033,130.0,152.04,330.0,349.2
Arum,1,69.09,68.57420000000008,60.0,60.1,80.0,79.9
Arum,2,65.0,66.3478,60.0,60.5,70.0,71.2
Arum,3,70.0,69.55790000000002,60.0,60.0,80.0,80.0
Arum,4,70.0,70.1526,60.0,60.0,80.0,80.4
Arum,5,70.0,69.04589999999999,60.0,57.5,80.0,79.3
Arum,6,110.0,110.0211,100.0,99.7,120.0,119.4
