Feature,Importance
price_spread_ratio,119.0
price_spread,88.66666666666667
Volume,60.0
Avg_Price_lag1,56.333333333333336
Total_Amount,51.666666666666664
Min_Price_roll3_mean,51.333333333333336
Avg_Price_roll3_mean,51.0
n_months_present,40.666666666666664
Max_Price_roll3_mean,34.0
volume_change_ratio,32.666666666666664
Volume_lag1,29.333333333333332
Local,29.0
Avg_Price_roll3_std,28.666666666666668
Min_Price_lag1,27.0
TOTAL_sources,24.333333333333332
Max_Price_lag1,21.0
India,19.0
import_share,18.666666666666668
Min_Price_roll3_std,17.666666666666668
Max_Price_roll3_std,15.666666666666666
cos_month,14.333333333333334
Avg_Price_lag2,14.0
Narayangadh,12.666666666666666
Dhading,12.333333333333334
Hetauda,12.0
TOTAL_sources_lag1,12.0
ktm_supply_share,11.333333333333334
Min_Price_lag2,11.333333333333334
total_imports,11.333333333333334
Max_Price_lag2,11.0
sin_month,9.333333333333334
China,9.0
Kathmandu,8.333333333333334
Gorkha,7.333333333333333
Birgunj,5.333333333333333
import_ratio,4.333333333333333
Syangja,3.0
Nawalparasi,2.3333333333333335
Tanahu,2.0
Sarlahi,1.6666666666666667
Dang,1.3333333333333333
Baglung,1.0
Volume_Equals,1.0
is_balanced,0.3333333333333333
unit_changed,0.0
Jhapa,0.0
reconciliation_gap,0.0
Bhutan,0.0
Bara,0.0
Beni,0.0
Palpa,0.0
Nuwakot,0.0
Mustang,0.0
Myagdi,0.0
Mugu,0.0
Marpha,0.0
Lahan,0.0
Lamjung,0.0
Kevray,0.0
Rupandehi,0.0
Rukum,0.0
Parbat,0.0
Sindhuli,0.0
Salyan,0.0
Sunsari,0.0
Rolpa,0.0
