Product_Name,Category,Last_Observed_Month_Idx,Last_Observed_Month_Name,n_months_present,is_balanced,Forecast_Month_Idx,Baseline_Min_Price,Baseline_Avg_Price,Baseline_Max_Price,RF_Predicted_Min_Price,RF_Predicted_Avg_Price,RF_Predicted_Max_Price,LightGBM_Predicted_Min_Price,LightGBM_Predicted_Avg_Price,LightGBM_Predicted_Max_Price
Akabary_Chilly,vegetable,10,baishakh,5,False,11,300.0,439.77,500.0,311.55,367.54,432.53,342.99,409.62,445.95
Amala,fruit,10,baishakh,9,False,11,80.0,135.0,150.0,110.96,130.05,142.97,126.33,148.91,162.69
Apple,fruit,10,baishakh,10,True,11,225.0,255.0,330.0,224.93,266.94,341.31,239.81,281.86,340.68
Apple_Fuji,fruit,10,baishakh,7,False,11,270.0,300.0,330.0,285.39,308.99,332.09,293.41,317.38,347.12
Arum,vegetable,10,baishakh,10,True,11,60.0,69.09,80.0,74.79,80.16,88.87,57.57,62.45,96.29
Avocado,fruit,10,baishakh,10,True,11,300.0,721.43,1000.0,352.78,422.71,473.27,425.84,477.59,491.32
Bakula,vegetable,10,baishakh,4,False,11,80.0,100.91,120.0,87.55,104.89,134.0,90.87,116.97,140.21
Bambooshoot,vegetable,10,baishakh,7,False,11,60.0,65.0,70.0,60.68,67.9,74.53,45.19,54.93,68.59
Banana,fruit,10,baishakh,7,False,11,100.0,130.45,150.0,100.32,123.42,150.94,105.21,137.3,178.97
Banana_Green,fruit,10,baishakh,10,True,11,180.0,194.91,230.0,120.23,152.48,191.94,131.24,161.6,193.98
Barela,vegetable,10,baishakh,9,False,11,80.0,99.55,120.0,82.83,101.47,122.31,85.77,102.39,123.47
Bayar,fruit,10,baishakh,7,False,11,100.0,110.0,120.0,87.7,98.32,109.14,84.53,93.54,106.06
Beat_Chukunder,vegetable,10,baishakh,10,True,11,80.0,100.0,120.0,81.48,101.06,120.51,83.68,100.71,122.88
Bitter_Gourd,vegetable,10,baishakh,10,True,11,130.0,172.5,220.0,77.3,113.3,161.77,52.08,61.52,109.01
Bottle_Gourd,vegetable,10,baishakh,10,True,11,80.0,102.73,120.0,70.24,94.03,116.9,59.1,91.53,122.63
Brinjal_Gland,vegetable,7,magh,4,False,8,80.0,107.89,120.0,76.99,90.76,105.57,80.84,113.31,119.43
Brinjal_Long,vegetable,10,baishakh,10,True,11,80.0,90.0,100.0,70.43,93.36,110.61,67.85,84.24,102.15
Broad_Leaf_Mustard,vegetable,10,baishakh,10,True,11,40.0,101.36,120.0,55.42,80.9,105.46,48.8,78.98,105.85
Broccoli,vegetable,10,baishakh,9,False,11,50.0,113.86,200.0,72.44,108.41,131.19,64.19,103.12,124.32
Cabbage,vegetable,10,baishakh,10,True,11,25.0,37.73,60.0,40.24,56.24,79.38,36.06,50.32,81.88
Cabbage_Red,vegetable,10,baishakh,10,True,11,60.0,90.23,200.0,89.49,113.59,163.92,88.42,107.1,167.45
Carrot,vegetable,10,baishakh,10,True,11,30.0,45.91,60.0,43.79,60.16,82.96,29.41,44.56,63.11
Cauliflower_Hill,vegetable,10,baishakh,10,True,11,15.0,78.86,120.0,46.15,69.55,100.72,35.92,72.48,102.49
Chilly_Green,vegetable,10,baishakh,10,True,11,130.0,174.32,220.0,87.44,126.0,172.36,69.68,99.1,162.56
Christophine,vegetable,10,baishakh,10,True,11,60.0,65.0,70.0,64.4,75.16,83.07,55.56,55.56,74.82
Coconut,fruit,10,baishakh,10,True,11,150.0,155.0,160.0,149.91,156.46,168.53,153.29,159.08,164.73
Coriander_Green,vegetable,10,baishakh,10,True,11,30.0,102.05,250.0,82.69,136.89,204.48,98.75,201.53,296.33
Cow_Pea,vegetable,10,baishakh,10,True,11,130.0,166.67,200.0,84.8,114.82,160.32,71.42,108.52,151.69
Cress_Leaf,vegetable,10,baishakh,9,False,11,,47.5,,123.0,149.36,166.71,123.96,151.43,153.2
Cucumber,vegetable,10,baishakh,10,True,11,40.0,71.82,100.0,43.87,80.49,121.15,44.66,77.47,119.93
Dragon_Fruits,fruit,10,baishakh,10,True,11,300.0,325.0,350.0,271.7,329.02,385.87,276.47,383.25,449.33
Fenugreek_Leaf,vegetable,10,baishakh,8,False,11,,47.5,,122.23,148.58,163.74,123.43,143.02,144.26
French_Bean,vegetable,10,baishakh,10,True,11,60.0,117.95,150.0,61.97,98.65,139.93,54.26,91.41,150.37
Garlic_Dry,vegetable,10,baishakh,8,False,11,,135.0,,133.92,147.16,173.21,105.89,114.34,118.17
Garlic_Green,vegetable,10,baishakh,10,True,11,60.0,70.0,80.0,79.84,92.37,105.52,63.54,63.54,81.96
Ginger,vegetable,10,baishakh,10,True,11,80.0,103.18,120.0,79.92,104.91,134.74,79.33,113.6,154.32
Grapes,fruit,10,baishakh,10,True,11,,230.0,,168.77,198.5,233.93,170.66,183.83,215.86
Green_Peas,vegetable,10,baishakh,9,False,11,50.0,96.36,130.0,73.92,89.39,110.35,70.82,88.89,104.36
