Product_Name,Mean_Price_Spread,Price_Spread_STD,Months,RF_Mean_MAE,LightGBM_Mean_MAE
Akabary_Chilly,320.0,216.79483388678798,5,,
Coriander_Green,305.4,186.58819779277457,10,36.38333333333333,46.84666666666667
Cabbage_Red,204.0,127.03455347966465,10,84.06666666666666,22.283333333333328
Kiwi,160.0,171.26976771553504,10,35.070000000000014,38.039999999999985
Red_Grapes,160.0,65.90035768383312,8,,
Garlic_Green,152.0,117.35984548955973,10,62.09666666666667,19.98333333333333
Avocado,150.0,209.4967514996089,10,384.1333333333334,356.54333333333335
Apple,149.0,39.70726214015097,10,13.080000000000013,14.51666666666666
Onion_Green,123.0,66.17317348358691,10,50.75,36.65333333333333
Khasa_Garlic_Dry,107.0,90.55998625834211,10,47.126666666666665,34.75333333333333
French_Bean,102.0,22.01009869229224,10,4.50333333333333,10.24666666666667
Kurilo,100.0,0.0,8,,
Broccoli,98.88888888888889,64.89307444643929,9,,
Cow_Pea,97.0,41.10960958218893,10,28.136666666666667,28.77666666666667
Orange,96.66666666666667,63.245553203367585,10,47.800000000000004,45.696666666666665
Cucumber,95.0,19.436506316150993,10,17.980000000000004,2.003333333333328
Lemon,94.0,75.45418035691152,10,135.82333333333335,138.23666666666668
Dragon_Fruits,90.0,39.44053188733078,10,58.29000000000002,72.54666666666667
Mango,88.0,63.38594306135847,10,142.91,168.23333333333335
Strawberry,86.66666666666667,71.18052168020874,6,,
Cauliflower_Hill,84.5,24.08895551446301,10,12.040000000000001,8.899999999999999
Mushroom,84.0,24.585451886114367,10,84.02999999999999,56.690000000000005
Apple_Fuji,80.0,52.91502622129181,7,,
Cress_Leaf,80.0,56.568542494923804,9,,
Pomegranate,77.77777777777777,26.352313834736496,10,11.436666666666648,11.843333333333343
Chilly_Green,74.0,21.70509412813294,10,16.889999999999997,27.406666666666666
Soya_Bean_Green,72.5,20.615528128088304,4,,
Smooth_Gourd,72.0,26.583202716502512,10,40.96666666666667,33.910000000000004
Bitter_Gourd,71.5,30.00462927246024,10,63.37,63.56999999999999
Rajma,71.42857142857143,28.535691936340257,9,,
Okara,71.0,28.06737924669451,10,40.53333333333333,34.38
Green_Peas,67.5,25.495097567963924,9,,
Tomato_Small,64.9,21.262643297577096,10,13.01333333333333,22.11
Pear_China,63.333333333333336,92.37604307034012,3,,
Sweet_Pepper,62.0,37.3571352696584,10,8.853333333333333,5.469999999999999
Broad_Leaf_Mustard,62.0,24.517567397911055,10,9.456666666666669,6.483333333333334
Spinach_Leaf,58.0,24.404006956964167,10,12.936666666666666,12.226666666666665
Sajiwan,57.77777777777778,28.62594006219611,9,,
Carrot,56.0,22.705848487901868,10,7.849999999999997,13.333333333333334
Pointed_Gourd,55.0,24.49489742783178,9,,
Garlic_Dry,55.0,44.609416046390926,8,,
Ginger,53.0,13.374935098492585,10,14.016666666666671,18.14333333333333
Squash,53.0,34.41575866437415,10,25.043333333333333,15.616666666666665
Banana_Green,52.4,26.994649675650745,10,25.290000000000003,18.840000000000003
Sword_Bean,50.0,28.284271247461902,7,,
Brinjal_Long,48.0,17.511900715418264,10,8.800000000000002,4.483333333333332
Beat_Chukunder,46.0,12.649110640673518,10,1.2600000000000005,6.576666666666668
Pine_Apple,45.0,26.770630673681683,10,47.69,46.596666666666664
Guava,45.0,32.05897343611891,10,49.99666666666667,16.626666666666665
Bakula,45.0,19.148542155126762,4,,
Bottle_Gourd,45.0,20.68278940998476,10,26.566666666666666,16.179999999999996
Radish_Red,42.0,19.888578520235065,10,2.849999999999999,6.929999999999997
Barela,41.25,3.5355339059327373,9,,
Snake_Gourd,40.0,12.247448713915889,9,,
Fenugreek_Leaf,40.0,,8,,
Grapes,40.0,0.0,10,,
Banana,40.0,19.148542155126762,7,,
Cabbage,38.5,15.465014279549393,10,22.186666666666667,8.31
Amala,37.5,27.12405363721075,9,,
Radish_White,35.0,19.364916731037084,10,29.55333333333333,16.64333333333333
Pumpkin_Green,33.0,17.029386365926403,10,10.786666666666664,3.096666666666664
Brinjal_Gland,32.5,9.57427107756338,4,,
Tomato_Big,32.142857142857146,17.286107827082528,7,,
Pumpkin_Leaf,32.0,10.954451150103322,7,,
Papaya,28.0,22.80350850198276,10,20.49666666666667,17.813333333333333
Gundruk,25.0,46.29100498862757,9,,
Sponge_Gourd,22.5,12.583057392117917,5,,
Onion_Dry,22.4,7.748835037890821,10,13.483333333333336,8.08333333333333
Mombin,22.0,34.92849839314596,6,,
Sweet_Potato,21.25,8.345229603962801,8,,
Malta,21.0,11.972189997378647,10,34.21000000000001,51.21666666666664
Watermelon,20.5,13.834337312964756,10,34.873333333333335,25.616666666666664
Turnip,20.0,0.0,9,,
Orange_Sweet,20.0,0.0,10,8.35333333333333,3.7833333333333314
Sugarcane,20.0,21.081851067789195,10,6.75333333333333,6.936666666666667
Yam,20.0,0.0,8,,
Christophine,19.0,12.866839377079188,10,13.206666666666669,17.08666666666667
Arum,19.0,3.162277660168379,10,14.863333333333335,7.580000000000003
Bayar,18.333333333333332,4.0824829046386295,7,,
Pumpkin,15.0,8.498365855987974,10,17.456666666666667,10.633333333333333
Jack_Fruit,12.5,5.0,7,,
Coconut,12.0,4.216370213557839,10,4.623333333333325,2.520000000000001
Potato_W,10.714285714285714,6.074928962939559,7,,
Potato_R,10.666666666666666,3.774917217635375,9,,
Bambooshoot,10.0,0.0,7,,
Potato_Blue,10.0,0.0,6,,
Pear,10.0,0.0,9,,
Haluwabed,8.333333333333334,20.41241452319315,8,,
Sarifa,0.0,,4,,
Green_Ve,,,9,,
Mango_Green,,,1,,
Peanuts,,,2,,
Potato,,,1,,
Tomato,,,1,,
Walnut,,,1,,
