Feature,MeanAbsSHAP
Avg_Price_lag1,27.60872831785689
price_spread,16.101904256037013
Local,10.251315267199034
Min_Price_lag1,8.303528821797817
Max_Price_lag1,7.61545038300471
price_spread_ratio,7.613535461787457
Narayangadh,6.532351387246167
Volume,4.949071844821651
Avg_Price_roll3_mean,4.929157624033471
China,3.3668810980321724
Avg_Price_roll3_std,2.9736507261725866
volume_change_ratio,2.7171914060613096
Max_Price_roll3_mean,2.701244713407499
import_share,2.6227565806805857
month_idx,2.3500615257805837
total_imports,1.4436013433397803
Max_Price_roll3_std,1.390044981912568
Birgunj,1.3627373239992746
Dhading,1.1493433641402693
Min_Price_roll3_mean,1.1194000801211421
Avg_Price_lag2,0.9680215657794069
India,0.843726157435921
Volume_lag1,0.7587420953392097
sin_month,0.6807988346996433
n_months_present,0.5339587003454936
Min_Price_roll3_std,0.5249708613188051
Min_Price_lag2,0.5050550725074389
TOTAL_sources_lag1,0.4515044503435851
Max_Price_lag2,0.4350011362436414
TOTAL_sources,0.42375636832239644
Hetauda,0.42303249604364274
Kathmandu,0.39577648999629217
cos_month,0.2575927732393735
Gorkha,0.1913105865521307
ktm_supply_share,0.12561086859017304
Tanahu,0.09661032010896652
Sarlahi,0.09502358770648132
Syangja,0.05634365387333553
Nawalparasi,0.050186836826676566
Nuwakot,0.009998298802260525
Dang,0.008910254369118737
Beni,0.008343652480763046
Baglung,0.002548379253897712
Jhapa,0.0
Volume_Equals,0.0
unit_changed,0.0
is_balanced,0.0
Bara,0.0
Bhutan,0.0
reconciliation_gap,0.0
Palpa,0.0
Mugu,0.0
Mustang,0.0
Myagdi,0.0
Marpha,0.0
Kevray,0.0
Lahan,0.0
Lamjung,0.0
Rupandehi,0.0
Parbat,0.0
Rukum,0.0
Rolpa,0.0
Sindhuli,0.0
Salyan,0.0
Sunsari,0.0
import_ratio,0.0
