Feature,MeanAbsSHAP
Avg_Price_lag1,32.98131793903332
price_spread,27.861326281753144
price_spread_ratio,10.067505551126377
Min_Price_lag1,8.832788335201604
Max_Price_lag1,7.902782580370087
Local,6.492588265537542
Avg_Price_roll3_mean,5.062751915713805
Max_Price_roll3_mean,4.234683174537997
Avg_Price_roll3_std,4.1607639761739605
Volume,3.532402095708699
India,2.7127568841332725
month_idx,2.5413409402933227
volume_change_ratio,2.2834951329824746
Birgunj,2.0246338271210345
Min_Price_roll3_mean,1.9126435062432403
Volume_lag1,1.5312778737785855
China,1.5221972690625782
Avg_Price_lag2,1.471399361152629
import_share,1.3653927805710289
Min_Price_lag2,1.3652839271551864
n_months_present,1.2361715982274892
sin_month,1.0892132229673328
Max_Price_roll3_std,1.0802789990073998
Narayangadh,1.0755075976812796
Max_Price_lag2,1.0124595088782498
TOTAL_sources_lag1,1.005798513564072
Dhading,0.9237232032180926
Kathmandu,0.9109127839329244
total_imports,0.8913726472634496
Min_Price_roll3_std,0.6450636754097667
cos_month,0.5904191585665817
TOTAL_sources,0.5453643200860151
ktm_supply_share,0.28904552868415806
Hetauda,0.28579518719393837
Gorkha,0.20929400394707698
Dang,0.1902522996915811
Tanahu,0.18120317467340313
Nawalparasi,0.15437385420976146
Sarlahi,0.07766820584576967
Syangja,0.016426706071384273
Nuwakot,0.013073809139570904
Volume_Equals,0.0007063604736855194
Jhapa,0.0
is_balanced,0.0
unit_changed,0.0
reconciliation_gap,0.0
Baglung,0.0
Bhutan,0.0
Bara,0.0
Beni,0.0
Palpa,0.0
Mugu,0.0
Mustang,0.0
Myagdi,0.0
Marpha,0.0
Kevray,0.0
Lahan,0.0
Lamjung,0.0
Rupandehi,0.0
Parbat,0.0
Rukum,0.0
Rolpa,0.0
Sindhuli,0.0
Salyan,0.0
Sunsari,0.0
import_ratio,0.0
