Feature,MeanAbsSHAP
Avg_Price_lag1,27.828797630604342
Local,10.216469553395381
price_spread,10.105925942304053
price_spread_ratio,9.48788479413548
Min_Price_roll3_mean,7.421452819551666
Narayangadh,6.956697058942142
Volume,5.74348787363307
Avg_Price_roll3_mean,5.679480072421972
Min_Price_lag1,4.1507314647156655
import_share,3.8537603514756387
China,3.6044570163310192
sin_month,2.5773413692930256
Avg_Price_roll3_std,2.4623328258174033
month_idx,2.419867918175586
India,1.4900688757767455
Max_Price_lag1,1.4801342678162457
Volume_lag1,1.2904710400454638
Kathmandu,1.2443777585490905
Max_Price_roll3_std,1.1871855248605856
Birgunj,1.0839724496563212
volume_change_ratio,0.963721875011365
Avg_Price_lag2,0.8686786879337833
Dhading,0.860517468298312
total_imports,0.7099221789842275
Max_Price_roll3_mean,0.5965086221505561
Hetauda,0.5289793727266481
Min_Price_roll3_std,0.498334943178726
cos_month,0.47435594054029173
Max_Price_lag2,0.4618403429883432
TOTAL_sources,0.4032605107945568
TOTAL_sources_lag1,0.3573731850966255
Gorkha,0.2906110391832183
Min_Price_lag2,0.20136356780076956
n_months_present,0.14689534486129632
Tanahu,0.14019917509837992
ktm_supply_share,0.11395189923620468
Sarlahi,0.05616792761857174
Dang,0.03925772218584835
Syangja,0.009467185315656804
Baglung,0.007339453903058841
Nuwakot,0.00590668200731106
Nawalparasi,0.004007475282126973
Beni,0.0036433491199184694
Jhapa,0.0
Volume_Equals,0.0
unit_changed,0.0
is_balanced,0.0
Bara,0.0
Bhutan,0.0
reconciliation_gap,0.0
Palpa,0.0
Mugu,0.0
Mustang,0.0
Myagdi,0.0
Marpha,0.0
Kevray,0.0
Lahan,0.0
Lamjung,0.0
Rupandehi,0.0
Parbat,0.0
Rukum,0.0
Rolpa,0.0
Sindhuli,0.0
Salyan,0.0
Sunsari,0.0
import_ratio,0.0
